2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-21', 'endDate': '2025-11-21', 'asin': 'B0CQFV25MQ', 'customerReturns': 0, 'shippedCogs': {'amount': 0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 0, 'currencyCode': 'AED'}, 'shippedUnits': 0}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-22', 'endDate': '2025-11-22', 'asin': 'B0CQFV25MQ', 'customerReturns': 0, 'shippedCogs': {'amount': 0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 0, 'currencyCode': 'AED'}, 'shippedUnits': 0}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-23', 'endDate': '2025-11-23', 'asin': 'B0CQFV25MQ', 'customerReturns': 0, 'shippedCogs': {'amount': 0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 0, 'currencyCode': 'AED'}, 'shippedUnits': 0}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-24', 'endDate': '2025-11-24', 'asin': 'B0CQFV25MQ', 'customerReturns': 0, 'shippedCogs': {'amount': 14.0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 19.02, 'currencyCode': 'AED'}, 'shippedUnits': 2}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-25', 'endDate': '2025-11-25', 'asin': 'B0CQFV25MQ', 'customerReturns': 0, 'shippedCogs': {'amount': 14.0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 19.02, 'currencyCode': 'AED'}, 'shippedUnits': 2}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-26', 'endDate': '2025-11-26', 'asin': 'B0CQFV25MQ', 'customerReturns': 0, 'shippedCogs': {'amount': 7.0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 9.51, 'currencyCode': 'AED'}, 'shippedUnits': 1}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-27', 'endDate': '2025-11-27', 'asin': 'B0CQFV25MQ', 'customerReturns': 0, 'shippedCogs': {'amount': 21.0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 28.53, 'currencyCode': 'AED'}, 'shippedUnits': 3}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-15', 'endDate': '2025-11-15', 'asin': 'B0FPFT2BYW', 'customerReturns': 0, 'shippedCogs': {'amount': 0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 0, 'currencyCode': 'AED'}, 'shippedUnits': 0}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-16', 'endDate': '2025-11-16', 'asin': 'B0FPFT2BYW', 'customerReturns': 0, 'shippedCogs': {'amount': 0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 0, 'currencyCode': 'AED'}, 'shippedUnits': 0}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-17', 'endDate': '2025-11-17', 'asin': 'B0FPFT2BYW', 'customerReturns': 0, 'shippedCogs': {'amount': 0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 0, 'currencyCode': 'AED'}, 'shippedUnits': 0}
2025-12-05 11:25:51 [WARNING] forecast_sync - [forecast_sync] Skipping sales entry missing asin/date: {'startDate': '2025-11-18', 'endDate': '2025-11-18', 'asin': 'B0FPFT2BYW', 'customerReturns': 1, 'shippedCogs': {'amount': 0, 'currencyCode': 'AED'}, 'shippedRevenue': {'amount': 0, 'currencyCode': 'AED'}, 'shippedUnits': 0}
